Institution,Name,Affiliation,h-index,i10-index,Citations
Indian Institute of Technology Madras,Kannan Moudgalya,"Professor, IIT Bombay",19,39,1444
Indian Institute of Technology Madras,"Kartik Subramanian, Ph.D.","Senior Principal Scientist, Bristol Myers Squibb",14,15,892
Indian Institute of Technology Madras,Rajeshkumar L,"Alliance University, AU-STIC, CoE-AMS, Postdoc@KMUTNB, Thailand",34,82,3835
Indian Institute of Technology Madras,K. V. Lalitha  (a.k.a Lalitha Kodumudi Venkataraman),Technische Universität Darmstadt,22,41,1550
Indian Institute of Technology Madras,Madhavan Swaminathan,Dept Head EE; William E. Leonhard Endowed Chair; Director CHIMES (an SRC JUMP 2.0 Center) Penn State,54,333,13581
Indian Institute of Technology Madras,Mangala Srinivas,"Wageningen University & Research, Cenya Imaging BV, Young Academy of Europe. Previous: Radboud",31,48,3885
Indian Institute of Technology Madras,Baskaran Mani,"Sankara Nethralaya, Chennai",62,182,15027
Indian Institute of Technology Madras,Meenakshisundaram Swaminathan,"professor of chemistry, Annamalai university,visiting faculty, Kalasalingam university",63,301,18679
Indian Institute of Technology Madras,Mohan Krishnamoorthy,RMIT University,38,72,10785
Indian Institute of Technology Madras,Mousumi Saha,"Graduate Student, Aston Labs by Prof R Graham Cooks, Department of Chemistry, Purdue University",8,8,302
Indian Institute of Technology Madras,Mukesh Doble,"Distinguished Prof, Saveetha Dental college, Retd Prof IITM",71,264,20212
Indian Institute of Technology Madras,Muruhan Rathinam,UMBC,19,28,2934
Indian Institute of Technology Madras,Muthu Kumaran Gnanamani,University of Kentucky,32,63,3207
Indian Institute of Technology Madras,Dr. Nahar Singh,"Chief Scientist , CSIR-NPL, New Delhi-India",33,54,3969
Indian Institute of Technology Madras,Prashant R. Nair,"Professor, Department of Computer Science & Engg,  Amrita Vishwa Vidyapeetham, Coimbatore",9,9,401
Indian Institute of Technology Madras,Saranya Nallapareddy,PhD student,5,3,434
Indian Institute of Technology Madras,Narayanan Rengaswamy,"Assistant Professor of Electrical and Computer Engineering, The University of Arizona",12,12,379
Indian Institute of Technology Madras,Narayanan Srinivasan,Indian Institute of Technology Kanpur,46,100,6291
Indian Institute of Technology Madras,Pallab Ghosh,Unknown affiliation,33,75,3626
Indian Institute of Technology Madras,Partha S.Bhattacharjee,Xavier University of Louisiana,22,38,1806
Indian Institute of Technology Madras,Monisha Pasupathi,University of Utah,56,96,16600
Indian Institute of Technology Madras,Prabhu Rajagopal,"Professor, Department of Mechanical Engineering, IIT Madras, T.N., India",27,61,2596
Indian Institute of Technology Madras,Prasad Menon,Unknown affiliation,1,0,3
Indian Institute of Technology Madras,Radhika Srinivasan,"PGIMER, Chandigarh",49,231,9094
Indian Institute of Technology Madras,Raghunathan Rengaswamy,"Professor of Chemical Engineering, IIT Madras",48,142,15805
Indian Institute of Technology Madras,Rajagopalan Srinivasan,Indian Institute of Technology Madras,52,143,7813
Indian Institute of Technology Madras,Dr. Krishan Kumar,"Department of Food Technology, Rajiv Gandhi University, Rono Hills, Doimukh, Arunachal Pradesh",21,30,1907
Indian Institute of Technology Madras,Karthik Rajendran,Associate Professor SRM University-AP,42,71,5997
Indian Institute of Technology Madras,Ramesh Hariharan,Mott MacDonald,1,1,10
Indian Institute of Technology Madras,"Ranjit Nair, MD",UT MD Anderson Cancer Center,23,49,2379
Indian Institute of Technology Madras,Ravi Jain,Google,45,108,9455
Indian Institute of Technology Madras,Vinu Ravikrishnan,"Professor, Chemical Engineering, Indian Institute of Technology Madras, India",50,123,7862
Indian Institute of Technology Madras,Sampath Rajagopalan,University of Southern California,28,38,3332
Indian Institute of Technology Madras,Sandeep Neema,"Research Professor, Vanderbilt University",34,98,10414
Indian Institute of Technology Madras,Sanghamitra Bandyopadhyay,"Professor of Computer Science, Indian Statistical Institute, Kolkata, India",64,221,21383
Indian Institute of Technology Madras,Dr.Saravanan Subramanian,College Librarian,60,319,15994
Indian Institute of Technology Madras,Saravanan vijayakumar,"Scientist NCDIR, ICMR",15,19,757
Indian Institute of Technology Madras,Satyajit Mayor,National Centre for Biological Sciences TIFR,73,127,25325
Indian Institute of Technology Madras,Senthilkumar Balakrishnan,Tamil Nadu State Council for Science  and Technology,37,69,26735
Indian Institute of Technology Madras,Shankar Subramaniam,University of California San Diego,93,280,59156
Indian Institute of Technology Madras,Sharath Nittur Sridhar,"Research Scientist, Intel Corporation",6,5,932
Indian Institute of Technology Madras,Muthusamy Sivakumar,"Professor of Practice, Biotechnology, Periyar Maniammai Institute of Science & Tech, Thanjavur",31,69,3903
Indian Institute of Technology Madras,Sobha Vijayan Nair,"Associate Professor, Amrita Viswa Vidhyapeetham",9,9,348
Indian Institute of Technology Madras,sreekumar narayanan,"Botho University, Gaborone, Botswana",5,2,64
Indian Institute of Technology Madras,Srinivas Chakravarthy,"Senior Scientist, Cytiva",30,57,4084
Indian Institute of Technology Madras,R Srinivasan,texas,99,396,60466
Indian Institute of Technology Madras,Sudarshan Srinivasan,Intel,15,16,1424
Indian Institute of Technology Madras,Mark U SubbaRao,"NASA's Scientific Visualization Studio, Goddard Space Flight Center",53,68,61003
Indian Institute of Technology Madras,Prof. Suresh Kumar Gupta,Distinguished Professor& HOD Department of Clinical Research DPSR UNIVERSITY,69,311,19802
Indian Institute of Technology Madras,Suresh Sethu,Assistant Professor in NPR College of Engineering and Technology,2,0,14
Indian Institute of Technology Madras,swathi v iyer,"Research Scholar, Memorial Sloan Kettering Cancer Center",11,11,872
Indian Institute of Technology Madras,Prof. Dr. Sayed Abdel Kader Ahmed,"Professor of Organic Chemistry, Vice Dean, Faculty of Science, Beni Suef University",56,302,18802
Indian Institute of Technology Madras,T.G. Srinivasan,"Professor, HBNI",46,141,6856
Indian Institute of Technology Madras,Assist. Prof/Dr.Tamilselvan Mohan,Graz University of Technology,30,66,2358
Indian Institute of Technology Madras,Uma Maheswari Krishnan,SASTRA DEEMED UNIVERSITY,60,192,12409
Indian Institute of Technology Madras,K Unnikrishnan Nair,"Professor - Organizational Behaviour, IIM Kozhikode; Former ICCR Rotating Chair Professor, FSU Jena",5,5,330
Indian Institute of Technology Madras,Vijay V Raghavan,"Alfred and Helen Lamson Endowed Professor in Computer Science, University of Louisiana at Lafayette",46,140,11551
Indian Institute of Technology Madras,"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080
Indian Institute of Technology Madras,"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080
Indian Institute of Technology Madras,Viswanathan (Vishy) Swaminathan,"Sr. Principal Scientist, Adobe Research",33,81,4066
Indian Institute of Technology Madras,Vivek Kumar Garg,Unknown affiliation,35,93,4342
Indian Institute of Technology Madras,Vivek Hari Sundar Gandhivel,"Donald Danforth Plant Science Center, USA",4,3,115
Indian Institute of Technology Madras,Dr. Yuvaraj T,"Research Faculty, Centre for Smart Energy Systems, Chennai Institute of Technology, Chennai, India",24,36,2306
Indian Institute of Technology Delhi,Bodh Raj Mehta,Indian Institute of Technology Delhi,46,189,9585
Indian Institute of Technology Delhi,Devang Khakhar,Indian Institute of Technology Bombay,46,109,7888
Indian Institute of Technology Delhi,Harpreet Singh,LIbrarian,60,388,19432
Indian Institute of Technology Delhi,jhuma sen gupta,Researcher,4,3,81
Indian Institute of Technology Delhi,Naveen Garg,"Computer Science and Engineering, IIT Delhi",34,54,7060
Indian Institute of Technology Delhi,Prashant K Jain,"G. L. Clark Professor of Physical Chemistry, University of Illinois Urbana-Champaign",59,101,34710
Indian Institute of Technology Delhi,Pradipta Ghosh,"Professor of Medicine and Cellular and Molecular Medicine, University of California, San Diego",52,121,23594
Indian Institute of Technology Delhi,Rangan Banerjee,IIT Bombay,45,105,7495
Indian Institute of Technology Delhi,Saikat Bhattacharya,UT Southwestern Medical Center,10,10,280
Indian Institute of Technology Delhi,Shalabh Bhatnagar,"Professor in the Department of Computer Science and Automation, Indian Institute of Science",37,102,7773
Indian Institute of Technology Delhi,Shantanu Roy,University of Chicago,58,270,14261
Indian Institute of Technology Delhi,Sudip Misra,"FACM, FIEEE, FAAIA, FNAE, FNASc, FIET, INAE Chair Professor, IIT Kharagpur",66,349,19274
Indian Institute of Technology Delhi,Sujay Guha,Stanford University,8,8,345
Indian Institute of Technology Delhi,Supriyo Bandyopadhyay,"Virginia Commonwealth University, University of Nebraska, University of Notre Dame, Purdue",53,177,10808
Indian Institute of Technology Delhi,Tarun Kant,"Professor Emeritus, Department of Civil Engineering, Indian Institute of Technology Bombay",51,119,10071
Indian Institute of Technology Delhi,Utpal Bora,"Professor, Indian Institute of Technology Guwahati",42,83,8200
Indian Institute of Technology Delhi,"V Ramgopal Rao, Fellow of IEEE, TWAS, INSA, INAE, IASc, NASI",IIT Bombay/IIT Delhi,50,202,9021
Indian Institute of Technology Delhi,Vijay Kumar Jain,"Professor Orthopaedic surgery, Atal Bihari Vajpayee Institute of Medical Sciences & Dr. Ram Manohar",33,71,3836
Indian Institute of Technology Delhi,"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080
Indian Institute of Technology Delhi,Prasanna Mohan Viswanathan,"Professor, Curtin University Malaysia",41,117,5624
Indian Institute of Technology Delhi,Yogesh C. Joshi,"Scientist-F (Professor) ARIES, Nainital",35,56,4040
Indian Institute of Technology Bombay,Advait Abhay Dixit,"University of California, Los Angeles",15,20,2635
Indian Institute of Technology Bombay,Dr. Ajay Kumar Gupta,Ganpat University,14,17,13528
Indian Institute of Technology Bombay,Amol Deshmukh,"Professor, NIT Nagpur",23,55,1699
Indian Institute of Technology Bombay,Arnab K. Basu,"Charles H. Dyson School of Applied Economics and Management, Cornell university, Ithaca, NY 14850.",22,35,1861
Indian Institute of Technology Bombay,"Ashish Ranjan Sharma, Ph.D.","Institute of Skeletal Ageing & Orthopedic Surgery, Hallym University, South Korea",47,113,9604
Indian Institute of Technology Bombay,Atul Dixit,Tulane University,18,35,924
Indian Institute of Technology Bombay,Dr. Atul Srivastava,Unknown affiliation,40,227,10286
Indian Institute of Technology Bombay,Avijit Ghosh,Dayra,50,280,10733
Indian Institute of Technology Bombay,Ayaskanta Sahu,New York University,25,31,2424
Indian Institute of Technology Bombay,Aravindha Babu,Professor sree balaji dental college and hospital. Bharath university chennai.,19,30,1464
Indian Institute of Technology Bombay,Bhaskar Dasgupta,"Consultant Rheumatologist, Southend University",69,182,24069
Indian Institute of Technology Bombay,Debasis Mitra,"Professor of Electrical Engineering, Columbia University",68,224,18700
Indian Institute of Technology Bombay,Dhiren Patel,"NIT Surat, India",29,61,5012
Indian Institute of Technology Bombay,Dipti Srinivasan,"IEEE Fellow;  Professor, National University of",90,308,27133
Indian Institute of Technology Bombay,Girish Dalvi,Indian Institute of Technology Bombay,7,5,158
Indian Institute of Technology Bombay,Guhan Jayaraman,"Professor of Biotechnology, IIT Madras Chennai",26,35,1618
Indian Institute of Technology Bombay,Himadri Pakrasi,Unknown affiliation,78,209,17865
Indian Institute of Technology Bombay,Dr Indumathi T,Postdoctoral Researcher,14,17,404
Indian Institute of Technology Bombay,Ishwar K. Puri,"Professor, Viterbi School of Engineering, University of Southern California",58,183,10119
Indian Institute of Technology Bombay,Kaustav Chatterjee,"Assistant Professor, Indian Institute of Technology Roorkee",13,20,665
Indian Institute of Technology Bombay,Kshitij Gupta,Unknown affiliation,16,18,1680
Indian Institute of Technology Bombay,Manish K. Tiwari,University College London,39,89,6885
Indian Institute of Technology Bombay,Markus Kraft,"University of Cambridge, MIT",76,330,21879
Indian Institute of Technology Bombay,Milind Tambe,"Professor & Director CRCS Center  @Harvard; Director ""AI for Social Good"" @Google Research",97,457,40277
Indian Institute of Technology Bombay,Mukesh Prasad,University of Technology Sydney,40,115,8347
Indian Institute of Technology Bombay,Narendra Dixit,"Department of Chemical Engineering, Indian Institute of Science",33,66,3514
Indian Institute of Technology Bombay,Niladri S. Chatterji,"Postdoctoral Researcher, Department of Computer Science, Stanford University",24,28,10961
Indian Institute of Technology Bombay,Niranjan Damle,Assestant Professor,2,0,7
Indian Institute of Technology Bombay,Dr. Nishant Saurabh,"Assistant Professor, Utrecht University, Netherlands.",11,13,413
Indian Institute of Technology Bombay,Dr. Pankaj Singh,"Department of Biotechnology, Dr. Rammanohar Lohia Avadh University, Ayodhya, UP, India",21,52,1989
Indian Institute of Technology Bombay,Partha Bhattacharyya,"Associate Professor,Dept. of Electronics and Telecommunication Engineering,IIEST,Shibpur,India",35,79,4728
Indian Institute of Technology Bombay,Parthasarathi Das  FRSC,Indian Institute of Technology (ISM) Dhanbad,29,66,2244
Indian Institute of Technology Bombay,Pradip Kumar Chatterjee,"Former Chief Scientist, CSIR Central Mechanical Engineering Research Institute, India",44,138,8309
Indian Institute of Technology Bombay,Prashant K Jain,"G. L. Clark Professor of Physical Chemistry, University of Illinois Urbana-Champaign",59,101,34710
Indian Institute of Technology Bombay,Jaya Preethi Mohan,Univeristy of North Dakota,3,1,40
Indian Institute of Technology Bombay,PRERNA TRIPATHI,research scholar,1,0,9
Indian Institute of Technology Bombay,Rajat Mittal,Johns Hopkins University,76,222,26264
Indian Institute of Technology Bombay,rajiv kumar,assistant professor of mechanical engineering,96,568,49285
Indian Institute of Technology Bombay,Ramesh P. Singh,Chapman university,65,206,15829
Indian Institute of Technology Bombay,Rishikesh Narayanan,"Professor, Molecular Biophysics Unit, Indian Institute of Science, Bangalore",28,49,2280
Indian Institute of Technology Bombay,Rohit Gupta,"Chief Information Officer, MedGenome",54,328,34769
Indian Institute of Technology Bombay,Rudra Pratap,"Vice-Chancellor, Plaksha University, Mohali, Punjab;  Professor at CeNSE, IISc, Bangalore",34,80,4395
Indian Institute of Technology Bombay,Rupesh Jayaram Patil,The University of Queensland,13,14,394
Indian Institute of Technology Bombay,Sanjay Mahajan,principal-igmc-hp@gov.in,21,33,2108
Indian Institute of Technology Bombay,Dr. Saravanan Muthupandian,"Professor - FAMS, UT, AMR and Nanomedicine",80,208,50701
Indian Institute of Technology Bombay,Saritha Krishna,University of California San Francisco Medical Center,14,15,801
Indian Institute of Technology Bombay,Dr Saurav Dixit,"Khalifa University, Abu Dhabi, UAE",39,96,4609
Indian Institute of Technology Bombay,Sayandev Mukherjee,Principal Architect,33,56,6067
Indian Institute of Technology Bombay,Shahadat Uddin,The University of Sydney,39,105,7411
Indian Institute of Technology Bombay,Shankar Subramaniam,University of California San Diego,93,280,59156
Indian Institute of Technology Bombay,Shriram Krishnamurthi,"Professor of Computer Science, Brown University",57,154,12194
Indian Institute of Technology Bombay,Subhasis Chaudhuri,Indian Institute of Technology Bombay,51,184,12502
Indian Institute of Technology Bombay,Sudhir R. Jain,Bhabha Atomic Research Centre,75,166,19340
Indian Institute of Technology Bombay,Sudipta Sarangi,Virginia Tech,25,61,2845
Indian Institute of Technology Bombay,Sumantra Dutta Roy,"Department of Electrical Engineering, Indian Institute of Technology Delhi",22,46,1996
Indian Institute of Technology Bombay,"Suresh Kannan Balasingam, PhD","Research Professor, Korea University (KU), Seoul",24,29,2423
Indian Institute of Technology Bombay,Suresh Nair,Professor of Neurosurgery sree Chitra Tirunal Institute of Medical Sciences and Technology Trivandru,50,170,10788
Indian Institute of Technology Bombay,SURJYA KANTA GHOSH,Teacher,19,38,1752
Indian Institute of Technology Bombay,Tapanendu Kundu,"Professor of Physics, IIT Bombay",23,42,1743
Indian Institute of Technology Bombay,Tharun Kumar Reddy Reddyvari,Student of electronic and communication engineering,107,181,56142
Indian Institute of Technology Bombay,Vasudeva Varma,"Professor, IIIT Hyderabad, India",43,162,8786
Indian Institute of Technology Bombay,Sakthivel Venkatesh,"Research Scholar, Department of Botany, Saraswathi Narayanan College, Madurai, TamilNadu, India.",4,0,20
Indian Institute of Technology Bombay,Vivek Borkar,Indian Institute of Technology Bombay,55,191,17554
Indian Institute of Technology Bombay,Vivek Farias,Massachusetts Institute of Technology,31,50,5302
Indian Institute of Technology Bombay,Vivek Pathak,"Assistant Professor, Stevens Institute of Technology",5,3,195
Indian Institute of Technology Bombay,Vivek Subramanian,Ecole polytechnique Federale de Lausanne (EPFL),74,196,24792
Indian Institute of Technology Kanpur,Amitabha Mukherjee,"Vice President, WSP USA",1,0,5
Indian Institute of Technology Kanpur,Debasish Sarkar,NIT Rourkela,32,63,3066
Indian Institute of Technology Kanpur,Deepak Pant,"Senior Scientist, Sustainable Chemistry, Flemish Institute for Technological Research, VITO, Belgium",89,201,24833
Indian Institute of Technology Kanpur,Diptiman Sen,"Professor, Centre for High Energy Physics, Indian Institute of Science, Bengaluru, India",50,153,8705
Indian Institute of Technology Kanpur,Indranil Sengupta,"Vice Chancellor, JIS University, Kolkata",34,44,4616
Indian Institute of Technology Kanpur,Mousumi Bora,PhD research scholar,8,8,627
Indian Institute of Technology Kanpur,Navakanta Bhat,Indian Institute of Science,34,132,5909
Indian Institute of Technology Kanpur,Pawan K Hari,New York University,11,11,533
Indian Institute of Technology Kanpur,siddhartha roy,CSIR-Indian Institute of Chemical Biology,21,30,1774
Indian Institute of Technology Kanpur,Somak Raychaudhury,"Vice-Chancellor, Ashoka University, Sonipat, Haryana, India",46,116,6806
Indian Institute of Technology Kanpur,Soumyo Mukherji,IIT Bombay,38,93,7352
Indian Institute of Technology Kanpur,Dr. Balasubramanian Sriram,"Research Assistant Professor, National Taipei University of Technology, Taipei",30,52,2188
Indian Institute of Technology Kanpur,Sudipta Sarkar,"Professor, Department of Civil Engineering, Indian Institute of Technology Roorkee, India",25,43,2997
Indian Institute of Technology Kanpur,Tanmay Basak,"Professor, Chemical Engineering, Indian Insttitute of Technology Madras",51,184,11434
Indian Institute of Technology Kanpur,Udayan Guha,"Senior VP, Clinical and Translational Development, NextCure Inc; Senior Clinical Advisory Staff, NCI",33,47,4240
Indian Institute of Technology Kharagpur,Abhirup Sarkar,"Professor of Economics, Indian Statistical Institute",12,12,785
Indian Institute of Technology Kharagpur,Amit Chakraborty,Master in computer applications,55,253,13570
Indian Institute of Technology Kharagpur,Amitava Mukherjee,"Senior professor and Ex-Director, Centre for Nanobiotechnology, VIT University",78,351,24313
Indian Institute of Technology Kharagpur,Anindya Chatterjee,"Professor, Department of Mechanical Engineering, Indian Institute of Technology, Kanpur",34,82,7535
Indian Institute of Technology Kharagpur,Dr. Anirban Bhattacharya,"Associate Professor, Mechanical Engineering Department, Indian Institute of Technology Patna",30,60,3380
Indian Institute of Technology Kharagpur,Arijit Karati,"Assistant Professor, National Sun Yat-sen University",14,21,1111
Indian Institute of Technology Kharagpur,Arindam Dey,Research Scientist @ Meta Reality Labs | Adjunct Research Fellow @ UQ,28,42,2979
Indian Institute of Technology Kharagpur,Ashok K. Mishra,"Kemper and Ethel Marley Foundation Chair, ASU Tempe, AZ",68,240,15920
Indian Institute of Technology Kharagpur,Babita Sharma,"PhD Scholar at Singhania University, Rajasthan, India",35,125,6319
Indian Institute of Technology Kharagpur,Basudev Majumder,"Faculty, Department of Avionics, IIST, Trivandrum",13,17,619
Indian Institute of Technology Kharagpur,Bharati Basu,"Professor of Economics, Central Michigan University",11,11,341
Indian Institute of Technology Kharagpur,Prof. (Dr.) Biswanath Mondal,"Former Professor & Chief Scientist, AcSIR /Centre for Advanced Materials Processing, CSIR-CMERI",33,65,4082
Indian Institute of Technology Kharagpur,Debashis Mandal,"Principal Scientist & ICAR-National Fellow, ICAR-IISWC",31,99,3776
Indian Institute of Technology Kharagpur,Debatosh Guha,"Institute of Radio Physics & Electronics, Calcutta University",40,79,5082
Indian Institute of Technology Kharagpur,Dipak Kumar Jana,"Principal at Gangarampur College, Former HOD at SAS&H, Professor, Haldia Institute of Technology",29,65,2346
Indian Institute of Technology Kharagpur,Dipankar Sarkar,National Geophysical Research Institute,27,49,2472
Indian Institute of Technology Kharagpur,Dr Ganesh Chandra  Nayak,Associate Professor,37,82,3594
Indian Institute of Technology Kharagpur,Gourab Banerjee,Yale University,12,12,1184
Indian Institute of Technology Kharagpur,Indrajit Chakrabarti,"Professor, Dept. of Electronics and Electrical Communication Engineering, IIT Kharagpur",21,52,1459
Indian Institute of Technology Kharagpur,Md Jahangir Alam,"Researcher, CRIM",67,437,23188
Indian Institute of Technology Kharagpur,Jayanta Bhattacharya,Indian Institute of Technology Kharagpur,42,119,8920
Indian Institute of Technology Kharagpur,Joydeep Banerjee,"Assistant Professor, Department of Agricultural and Food Engineering, Indian Institute of Technology",17,22,1117
Indian Institute of Technology Kharagpur,Kaushik Kumar Bharadwaj,Research Scholar,12,14,717
Indian Institute of Technology Kharagpur,Kalyan Kumar Chattopadhyay,"Professor, Jadavpur University",65,340,16124
Indian Institute of Technology Kharagpur,Prasanta Kumar Das,"Associate Professor, Department of Physics, BITS Pilani, K.K.Birla Goa Campus",92,452,30286
Indian Institute of Technology Kharagpur,"Dr. Narendra Nath Ghosh, FRSC","Professor, Dept of Chemistry, BITS Pilani, KK Birla Goa Campus",39,103,6988
Indian Institute of Technology Kharagpur,rakesh pandey,"Professor in Physics, K M College, Delhi University",4,2,70
Indian Institute of Technology Kharagpur,Dr. K. N. Das,"Professor of Soil Science, Assam agricultural University",11,14,394
Indian Institute of Technology Kharagpur,K N Rai,"Institute Professor, IIT BHU Varanasi India",29,69,2626
Indian Institute of Technology Kharagpur,Prof. Kalyan Kumar Das,Jadavpur University,31,125,5821
Indian Institute of Technology Kharagpur,Kalyanmoy Deb,"University Distinguished Professor, Electrical and Computer Engineering, Michigan State University",145,647,216104
Indian Institute of Technology Kharagpur,Karabi Biswas,"Professor, Indian Institute of Technology Kharagpur",29,56,3149
Indian Institute of Technology Kharagpur,Kaustubha Mohanty,"Professor and Head of Chemical Engineering, IIT Guwahati",59,172,11249
Indian Institute of Technology Kharagpur,Krishan Kumar,Student at Carleton University,109,1023,67818
Indian Institute of Technology Kharagpur,Kuldeep Kumar Sharma,ICAR-IIMR,47,269,10032
Indian Institute of Technology Kharagpur,Kunal Pal,National Institute of Technology Rourkela,56,193,11305
Indian Institute of Technology Kharagpur,Lalit Mohan Patnaik,"Adjunct Professor and NASI(National Academy of Sciences India)Senior Scientist, NIAS,Bangalore,India",42,204,16771
Indian Institute of Technology Kharagpur,M.K. Walz,Professor der Medizin,65,165,16968
Indian Institute of Technology Kharagpur,Mrinal K. Ghose,"Professor of Environmental Science & Engineering, Indian School of Mines, Dhanbad",43,124,6586
Indian Institute of Technology Kharagpur,Manoj Kumar Tiwari,"Director, Indian Institute of Management Mumbai,India &Prof.of ISE,IIT KGP",89,336,35395
Indian Institute of Technology Kharagpur,Rajeshwar Malavath,Professor Jayashankar Telangana State Agricultural University,10,10,280
Indian Institute of Technology Kharagpur,Madhumita Chakraborty,iim lucknow,16,18,766
Indian Institute of Technology Kharagpur,Manas Chatterjee,"Professor and Head, Department of Dermatology, Command Hospital (Eastern Command), Kolkata 700027",22,38,1682
Indian Institute of Technology Kharagpur,Mrinal K. Ghose,"Professor of Environmental Science & Engineering, Indian School of Mines, Dhanbad",43,124,6586
Indian Institute of Technology Kharagpur,Mrinal Kanti Naskar,"Professor, Jadavpur University",20,67,1987
Indian Institute of Technology Kharagpur,Narottam K Das,"Senior Lecturer, Central Queensland University, Melbourne Campus, Australia",27,85,2741
Indian Institute of Technology Kharagpur,Nand K Roy,"Postdoctoral Fellow, Centre for Cancer Immunotherapy, La Jolla Institute for Immunology",23,30,3190
Indian Institute of Technology Kharagpur,Narendra Nath Dutta,"Assistant Professor, VIT-AP University, India",12,12,271
Indian Institute of Technology Kharagpur,NILOTPAL MRINAL,"Student Of B.tech Final Year At BCET,Durgapur",2,0,10
Indian Institute of Technology Kharagpur,Partha Chakraborty,Unknown affiliation,42,212,7698
Indian Institute of Technology Kharagpur,Partha Sarkar,Adj. Prof. of University of Alberta,39,86,8479
Indian Institute of Technology Kharagpur,Pijush Ghosh,"Professor, Department of Applied Mechanics & Biomedical Engg, Indian Institute of Technology Madras",20,33,1476
Indian Institute of Technology Kharagpur,Dr PK Banerjee,"Outstanding Scientist & Outstanding Professor (AcSIR), CSIR-CIMFR Dhanbad and Ex-CTO, HINDALCO",25,50,2035
Indian Institute of Technology Kharagpur,"Prantik Kundu, PhD","Ceretype Neuromedicine Inc., Mount Sinai School of Medicine, Brigham and Women's Hospital, HMS",42,55,6426
Indian Institute of Technology Roorkee,Amit Singal,University of Texas Southwestern Medical Center,94,338,36414
Indian Institute of Technology Roorkee,AMITABH GUPTA,"Associate Professor, Dept. of Financial Studies,University of Delhi",50,206,11581
Indian Institute of Technology Roorkee,Dr. Arvind Tiwari,"BAG Energy Research Society, India",27,38,4791
Indian Institute of Technology Roorkee,Ashutosh Sharma,"Chemical Engineering, IITK, IIT Kanpur, Indian Institute of Technology Kanpur",89,404,26549
Indian Institute of Technology Roorkee,Ashutosh Tiwari,"Civil Engg. ,Kamla Nehru Institute of Technology",80,427,30736
Indian Institute of Technology Roorkee,Atul Kumar,"Assistant Professor, Baba Mastnath University",75,527,25139
Indian Institute of Technology Roorkee,Balesh Kumar,Unknown affiliation,3,1,46
Indian Institute of Technology Roorkee,"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080
Indian Institute of Technology Roorkee,Vipin Kumar,"Assistant Professor of Computer Science Engineering , Women Institute of Technology Dehradun",69,576,43697
